종류,세부분류,위치,가게이름,상세주소,전화번호,대표메뉴 1,가격 1,대표메뉴2,가격2,대표메뉴3,가격3,특징,사진,lat,lng
2,노래방,3,질러존 노래연습장,충청남도 아산시 모종동 568-1,041-532-3111,,,,,,,,,36.7839349,127.0163068
2,pc방,3,맥스존PC방,충청남도 아산시 모종동 560-21,041-547-8115,1시간,1천2백원대,,,,,,,36.7851456,127.011791
2,pc방,3,아이비스PC,충청남도 아산시 모종동 메디포스건물 맞은편,,1시간,1천2백원대,,,,,,,36.7837218,127.016477
2,pc방,3,아이센스pc,충청남도 아산시 모종동 터미널,,1시간,1천2백원대,,,,,,,36.7844835,127.0152835
2,pc방,3,인터캐슬 온양3호점,충청남도 아산시 모종동 557-14,041-541-2652,1시간,1천2백원대,,,,,,,36.7847598,127.0137237
2,pc방,3,유림넷,충청남도 아산시 모종동 575-7,041-522-9560,1시간,1천2백원대,,,,,,,36.7821755,127.0136924
2,pc방,3,패밀리아피시방,충청남도 아산시 권곡동 547-49,041-534-7476,1시간,1천2백원대,,,,,,,36.7854956,127.009672
2,pc방,3,데이즈PC방,충청남도 아산시 모종동 580-1,041-546-1365,1시간,1천2백원대,,,,,,,36.7814796,127.0127668
2,노래방,3,시티노래방,충청남도 아산시 모종동 379-140 ,041-542-3223,,,,,,,,,36.7863079,127.0165779
2,노래방,3,한라노래연습장,충청남도 아산시 모종동 576-6,041-544-7990,,,,,,,,,36.7833318,127.0112066
2,노래방,3,예스노래연습장,충청남도 아산시 모종동 592-9,041-534-4255,,,,,,,,,36.7796583,127.0135079
2,당구장,3,네오당구장,충청남도 아산시 모종동 560-21,041-549-8021,,,,,,,,,36.7851456,127.011791
2,당구장,3,한라당구클럽,충청남도 아산시 모종동 576-1,041-547-5527,,,,,,,,,36.7829257,127.0120475
4,,3,스칼렛헤어필,충청남도 아산시 모종동 568-1,041-533-5755,,,,,,,,,36.7839349,127.0163068
4,,3,헤어폴리스,충청남도 아산시 모종동 메디포스 옆,,,,,,,,,,36.7839349,127.0163068
