종류,세부분류,위치,가게이름,상세주소,전화번호,대표메뉴 1,가격 1,대표메뉴2,가격2,대표메뉴3,가격3,특징,사진,lat,lng
1,양식,1,한스델리,충청남도 아산시 온천동 92-7F,041-542-9411,-,4천원대,,,,,4천원대부터 1만원대 까지 가격대가 저렴하다.,2-1.jpg,36.7823541,127.0030662
2,노래방,2,뮤직시티노래방,충청남도 아산시 온양2동 212,041-542-6581,1시간,6천원,,,,,,2-2.jpg,36.7812973,127.0033905
1,,1,엘모,충청남도 아산시 온천동 211-13,041-542-2633,"각종 커피, 음료",5천원대~ 1만원대,,,,,,2-3.jpg,36.7812973,127.0033905
1,분식,1,매운오뎅 분식점,충청남도 아산시 온천동 샵노래방(충청남도 아산시 온양1동 217-12) 앞,,매운오뎅,5백원대,떡볶이,3천원대,,,,2-4.jpg,36.7823105,127.0019034
2,노래방,1,샵노래방,충청남도 아산시 온양1동 217-12,041-548-1253,1시간,7천원,,,,,,2-5.jpg,36.7823105,127.0019034
2,pc방,1,쟈스민 pc방,충청남도 아산시 온양1동 93-1,,1시간,천이백원대,,,,,,2-6.jpg,36.7830956,127.0034973
1,분식,2,청년국물떡볶이,충청남도 아산시 온양2동 212-7,041-542-2356,떡볶이,3천원대,,,,,,2-7.jpg,36.7830956,127.0034973
1,,2,카페베네,충청남도 아산시 온양2동 212-7(2층),041 -544-6232,"각종 커피, 음료",5천원대~ 1만원대,,,,,,2-8.jpg,36.7813367,127.002922
1,분식,2,갈채 김밥 닭발,충청남도 아산시 온양 2동 223-3,041-543-4444,닭발,1만 5천원대~ 2만원대,,,,,,2-9.jpg,36.7813436,127.0009395
1,,2,프리카페,충청남도 아산시 온양2동 212-17,041-531-9232,뷔페 1인,1만원대,,,,,,2-10.jpg,36.7813595,127.0021614
1,,1,파스쿠찌,충청남도 아산시 온천동 228-1,041-538-2250,"각종 커피, 음료",5천원대~ 1만원대,,,,,,2-11.jpg,36.7821286,126.9995297
4,,1,남산도서관,충청남도 아산시 온천동 남산쪽 역전근처,,,,,,,,"회원증필요함,학업공간조성",2-12.jpg,36.7820972,126.9952294
1,한식,1,은정갈비,충청남도 아산시 온양1동 220-20,041-545-5898,갈비,1만원대 ~ 2만원대,,,,,,2-13.jpg,36.7827817,127.0007449
1,분식,1,신포우리만두,충청남도 아산시 온천동 217-2,041-546-7501,각종 만두,5천원대~ 1만원대,,,,,,2-14.jpg,36.7822209,127.0020685
2,당구장,1,sbs당구클럽,충청남도 아산시 온천동 louis castel 옷가게 2층,041-547-3037,1시간,8천원대,,,,,,2-15.jpg,,
2,pc방,1,시즌아이 pc방,충청남도 아산시 온천동 eco아웃도어점 2층,,1시간,1천2백원대,,,,,,,,
2,노래방,1,궁 노래방,충청남도 아산시 온천동 롯데리아 옆2층,,1시간,7천원대,,,,,,2-17.jpg,36.7819836,127.0037719
1,패스트푸드,1,롯데리아,충청남도 아산시 온천동 91-19,041-545-0066,각종 버거류,4천원대~7천원대,,,,,,2-18.jpg,36.7819836,127.0037719
1,분식,1,달콤한 닭강정,충청남도 아산시 온천동 쟈스민pc방 근처,,닭강정 (매운맛 달콤한 맛),3천원대부터,족발,2만원대,,,,2-19.jpg,36.7830956,127.0034973
2,노래방,1,질러존,충청남도 아산시 온양1동 샾노래방근처 2층,,1시간,7천원대,,,,,,2-20.jpg,36.7823105,127.0019034
2,pc방,1,보보스 pc방,충청남도 아산시 온천동 유엘시티 반대쪽 한수학건물2층,,1시간,1천2백원대,,,,,,2-21.jpg,36.7830583,127.0050375
2,노래방,1,락휴 노래방,충청남도 아산시 온천동 92-7F(3층),,1시간,7천원대,,,,,,,36.7823541,127.0030662
2,pc방,1,sweetea pc방,충청남도 아산시 온천동 롯데리아 옆 지하1층,,1시간,1천2백원대,,,,,,2-23.jpg,36.782223,127.0037605
2,pc방,1,파워넷 pc방,충청남도 아산시 온양1동 87-5,041-532-2523,1시간,1천2백원대,,,,,,2-24.jpg,36.7807814,127.0048143
