종류,세부분류,위치,가게이름,상세주소,전화번호,대표메뉴 1,가격 1,대표메뉴2,가격2,대표메뉴3,가격3,특징,사진,lat,lng
1,,5,제이비스트로,충청남도 아산시 용화동 1089,041-542-0821,각종 음료,3천5백원대~5천5백원대,사이드메뉴,4천5백원~6천원대,,,쿠폰처럼 도장을 모을 수 있음,,36.776475,127.0081335
1,양식,5,키친플람베,충청남도 아산시 용화동 1253,041-532-8842,목살스테이크샐러드,1만8천원대,샐러게티&팬피자,1만8천원대,,,한 접시에 2인분,,36.7744899,127.0088331
1,,5,쁘띠몽드과자점,충청남도 아산시 용화동 621,041-543-3223,,,,,,,"프랑스 현지 제과점과 학교에서 기술을 습득한 쉐프가 만든 케이크, 초콜릿과 쿠키, 빵을 맛볼 수 있는 명소",,36.7758853,126.9982389
2,pc방,5,아이센스pc방,충청남도 아산시 용화동 1952,010-5345-0786,,,,,,,프랜차이즈 pc방,,36.7744862,127.0004235
1,분식,5,주먹밥맛좀볼래,충청남도 아산시 용화동 655,041-543-1700,주먹밥,1천원~1천5백원대,토핑,3백원~5백원대,,,주먹밥 위에 올릴 토핑 선택 가능,,36.7755542,126.9972041
4,,5,하버드독서실,충청남도 아산시 용화동 253-11,041-532-5428,1일,5천원대,,,,,,,36.7759602,126.9958051
4,,5,디세스헤어,충청남도 아산시 용화동 966,041-545-2478,,,,,,,,,36.7783965,127.0098376
4,,5,더갤러리미용실,충청남도 아산시 용화동 645,041-549-7911,,,,,,,,,36.7754975,126.9966995
4,,5,크린토피아,충청남도 아산시 용화동 719,041-545-8230,와이셔츠세탁,천원대,,,,,"매주 목요일 7%할인,생일 20%할인",,36.7721948,126.9961247
1,,5,커피콩볶는집 이섭,충청남도 아산시 용화동 1322,041-542-3869,음료,4천원~6천원대,사이드메뉴,3천원~6천원대,,,,,36.7731746,127.0039948
1,분식,5,김밥천국,충청남도 아산시 용화동 11,041-542-8853,김밥,1천원~1천5백원대,,,,,,,36.7735981,127.0128893
1,한식,5,본죽,충청남도 아산시 용화동 653,041-910-5690,죽,6천5백원~7천원대,,,,,치즈토핑추가 시 천원추가,,,
1,,5,효소가와,충청남도 아산시 용화동 1607,041-532-6300,,,,,,,,,36.7740446,127.0111898
3,,5,21세기 헬스클럽,충청남도 아산시 용화동 253-11,041-531-7118,,,,,,,,,36.7759602,126.9958051
1,치킨,5,굽네치킨,충청남도 아산시 용화동 662,041-532-9294,한마리,1만5천원~1만7천원대,두마리,2만6천원대,,,,,36.7746409,126.9966554
1,패스트푸드,5,맘스터치,충청남도 아산시 용화동 42-33,041-546-9292,버거,3천2백원~3천4백원대,버거세트,5천4백원~6천 2백원,치킨,1만5천원~1만 7천원,,,36.7751256,127.0044266
