종류,세부분류,위치,가게이름,상세주소,전화번호,대표메뉴 1,가격 1,대표메뉴2,가격2,대표메뉴3,가격3,특징,사진,lat,lng
1,,4,미니스톱 아산실옥점,충청남도 아산시 실옥동 187-10,041-544-6204,,,,,,,,,36.7875309,126.9882536
1,,4,CU 아산 배비점,충청남도 아산시 서부북로 974,041-532-0901,,,,,,,,,36.7883818,126.966956
1,,4,GS 아산 현대점,충청남도 아산시 방축로 8 방축현대아파트,041-544-4228,,,,,,,,,36.7809286,126.9880616
1,,4,세븐일레븐 아산신정호점,충청남도 아산시 방축동 428-10,,,,,,,,,,36.7766826,126.9842711
1,,4,세븐일레븐 아산법원점,충청남도 아산시 온천동 1416 ,041-547-0980,,,,,,,,,36.7886381,126.9975395
1,,4,GS25 아산시민점,충청남도 아산시 온천동 1326-1,041-542-2622,,,,,,,,,36.786933,126.9982907
1,,4,세븐일레븐 충남아산점,충청남도 아산시 온천동 1352,041-534-1436,,,,,,,,,36.786564,126.9992843
2,당구장,4,짱 당구장,아산시 배미동 239-14,041-544-1777,,,,,,,,,36.7877272,126.9688774
2,당구장,4,DAMA당구장,아산시 방축동 131-22,041-532-4939,,,,,,,,,36.7843505,126.9923292
1,,4,파리바게뜨 아산방축점,방축동 132-9,041-549-0059,,,,,,,,,36.7845723,126.9911139
1,,4,카페보니또 아산원예하나로점,방축동 101-4,010-4748-0554,,,,,,,,,36.7843721,126.9865041
1,,4,큰 사랑 빵굼터,배미동 174-3,041-549-0049,,,,,,,,,36.7894649,126.9670511
1,"피자, 파스타",4,뽕뜨락 피자 배미점,배미동 147-8,041-533-6066,,,,,,,,,36.7947413,126.9668226
1,"피자, 파스타",4,59쌀 피자 실옥점,실옥동 187-6,041-542-5982,,,,,,,,,36.7875809,126.9876964
1,"피자, 파스타",4,피자꾸오레,득산동 287-29,041-533-7737,,,,,,,,,36.7865952,126.9702136
1,"피자, 파스타",4,도미노 피자 아산점,방축동 131-22,,,,,,,,,,36.7843505,126.9923292
1,치킨,4,멕시카나 배미점,배미동 239-76,041-534-9984,,,,,,,,,36.7881243,126.9676088
1,치킨,4,교촌치킨 배미점,배미동 239-17,041-547-1007,,,,,,,,,36.7871856,126.9694453
1,치킨,4,교촌치킨 온천점,온천동 1310,041-534-7282,,,,,,,,,36.7884281,126.9968454
